,0,90,180,270,model_name,dataset_name,group_name,data_transformations,full_finetune,method
0,688.0,72.8125,75.375,71.25,RN50,CIFAR100,rot90,rot90,False,equitune
1,95.9375,74.1875,110.3125,62.96875,RN50,CIFAR100,rot90,rot90,False,equitune
2,196.125,86.3125,81.4375,83.5625,RN50,CIFAR100,rot90,rot90,False,equitune
3,80.1875,68.75,87.4375,79.5,RN50,CIFAR100,rot90,rot90,False,equitune
4,401.5,66.9375,184.25,77.5,RN50,CIFAR100,rot90,rot90,False,equitune
5,84.8125,83.25,92.625,55.5625,RN50,CIFAR100,rot90,rot90,False,equitune
6,163.875,83.4375,107.25,83.75,RN50,CIFAR100,rot90,rot90,False,equitune
7,61.6875,85.5,90.1875,90.4375,RN50,CIFAR100,rot90,rot90,False,equitune
8,295.75,65.375,87.0,71.6875,RN50,CIFAR100,rot90,rot90,False,equitune
9,118.4375,79.375,84.125,104.0,RN50,CIFAR100,rot90,rot90,False,equitune
10,269.0,90.875,54.8125,83.0,RN50,CIFAR100,rot90,rot90,False,equitune
11,111.75,67.125,76.375,64.125,RN50,CIFAR100,rot90,rot90,False,equitune
12,911.0,63.96875,65.6875,64.9375,RN50,CIFAR100,rot90,rot90,False,equitune
13,311.25,72.1875,82.8125,80.5625,RN50,CIFAR100,rot90,rot90,False,equitune
14,405.5,96.0,191.5,138.125,RN50,CIFAR100,rot90,rot90,False,equitune
15,245.75,67.625,113.4375,100.1875,RN50,CIFAR100,rot90,rot90,False,equitune
16,134.375,154.125,98.5,182.5,RN50,CIFAR100,rot90,rot90,False,equitune
17,74.8125,88.75,96.0625,80.125,RN50,CIFAR100,rot90,rot90,False,equitune
18,145.0,119.0,88.375,167.0,RN50,CIFAR100,rot90,rot90,False,equitune
19,160.25,85.875,172.5,97.1875,RN50,CIFAR100,rot90,rot90,False,equitune
20,77.0625,97.75,100.5625,97.25,RN50,CIFAR100,rot90,rot90,False,equitune
21,266.0,83.5,104.8125,76.8125,RN50,CIFAR100,rot90,rot90,False,equitune
22,82.25,87.3125,78.625,66.875,RN50,CIFAR100,rot90,rot90,False,equitune
23,204.75,67.0,104.5,75.25,RN50,CIFAR100,rot90,rot90,False,equitune
24,201.75,82.4375,58.75,79.6875,RN50,CIFAR100,rot90,rot90,False,equitune
25,352.0,123.3125,87.9375,130.5,RN50,CIFAR100,rot90,rot90,False,equitune
26,76.125,75.875,62.65625,70.25,RN50,CIFAR100,rot90,rot90,False,equitune
27,258.25,85.6875,113.0625,70.75,RN50,CIFAR100,rot90,rot90,False,equitune
28,279.5,120.25,113.625,82.5625,RN50,CIFAR100,rot90,rot90,False,equitune
29,65.75,70.0,80.8125,73.0,RN50,CIFAR100,rot90,rot90,False,equitune
30,158.75,189.75,304.75,129.875,RN50,CIFAR100,rot90,rot90,False,equitune
31,133.25,89.0625,85.75,86.25,RN50,CIFAR100,rot90,rot90,False,equitune
32,111.75,79.9375,71.4375,60.28125,RN50,CIFAR100,rot90,rot90,False,equitune
33,85.0,90.3125,77.0625,75.375,RN50,CIFAR100,rot90,rot90,False,equitune
34,93.3125,67.9375,110.1875,82.25,RN50,CIFAR100,rot90,rot90,False,equitune
35,93.9375,80.25,76.1875,75.1875,RN50,CIFAR100,rot90,rot90,False,equitune
